supermercado,ciudad,categoria,producto,marca,presentacion,sku_presentacion_capturada,promo_tipo,promo_param,promo_condicion,precio_individual,precio_total,moneda,vigencia_desde,vigencia_hasta,fuente,id_externo,pagina,posicion
Super Rio,Rio Segundo,Limpieza,Detergente,Lavalimp,Pack x3 botellas 500 ml,PACK3-DET,2x1,,Comprá 2 unidades,$750,,$,2024-04-01,2024-04-15,Revista Abril,SR-DET-001,12,4
Super Rio,Rio Segundo,Bebidas,Gaseosa Cola,MaxiFizz,2.25 L,2250ml,ninguna,,,1250,,ARS,2024-04-01,2024-04-10,Volante Digital,SR-BEB-004,5,2
Super Rio,Rio Segundo,Almacén,Yerba Mate,Campo Claro,1 kg,1kg,porcentaje,15,,4200,,ARS,2024-04-01,2024-04-07,Web Oficial,SR-ALM-032,3,1
Super Rio,Rio Segundo,Almacén,Harina 000,Trigal,1 kg,1kg,ninguna,,,950,,ARS,2024-04-02,2024-04-09,Web Oficial,SR-ALM-021,3,2
Super Pilar,Pilar,Almacén,Yerba Mate,Campo Claro,1 kg,1kg,porcentaje,10,,4450,,ARS,2024-04-01,2024-04-07,Revista Abril,SP-ALM-032,4,1
Super Pilar,Pilar,Bebidas,Gaseosa Cola,MaxiFizz,2.25 L,2250ml,precio_banco,Banco Xanaes,Con tarjeta del banco,1290,,ARS,2024-04-01,2024-04-15,Web Oficial,SP-BEB-004,6,2
Economax,Rio Segundo,Almacén,Arroz Largo,Finca Dorada,1 kg,1kg,3x2,,Comprá 3 unidades,850,,ARS,2024-04-03,2024-04-10,Revista Abril,EC-ALM-011,2,3
Economax,Rio Segundo,Almacén,Galletitas Dulces,Manjar,Pack x6 110 g,PACK6-110G,2da_50,,Segunda unidad al 50%,780,,ARS,2024-04-03,2024-04-12,Revista Abril,EC-ALM-015,2,4
Economax,Pilar,Lácteos,Leche Entera,Vaquita,1 L,1l,ninguna,,,590,,ARS,2024-04-04,2024-04-08,Volante Digital,EC-LAC-008,7,1
Economax,Pilar,Limpieza,Detergente,Lavalimp,500 ml,500ml,ninguna,,,260,,ARS,2024-04-04,2024-04-12,Volante Digital,EC-LIM-004,7,3
Super Rio,Rio Segundo,Carnes,Pollo Entero,Granja Xanaes,kg,1kg,precio_unidad,,,1990,,ARS,2024-04-02,2024-04-06,Revista Abril,SR-CAR-002,8,2
Super Rio,Pilar,Congelados,Helado Creme,FrioMix,1.5 L,1500ml,ninguna,,,3450,,ARS,2024-04-05,2024-04-20,Web Oficial,SR-CON-001,9,1
Super Pilar,Pilar,Limpieza,Suavizante,AromaPlus,900 ml,900ml,2da_50,,Segunda unidad al 50%,1450,,ARS,2024-04-03,2024-04-15,Revista Abril,SP-LIM-005,10,2
Economax,Rio Segundo,Perfumería,Shampoo,Fresco,400 ml,400ml,porcentaje,25,,2100,,ARS,2024-04-06,2024-04-15,Web Oficial,EC-PER-002,11,4
Super Rio,Rio Segundo,Panificados,Pan Lactal,Trigal,550 g,550g,suma_fija,5200,3 unidades,2100,,ARS,2024-04-01,2024-04-08,Revista Abril,SR-PAN-010,13,2
Super Pilar,Pilar,Almacén,Harina 000,Trigal,1 kg,1kg,ninguna,,,980,,ARS,2024-04-01,2024-04-09,Revista Abril,SP-ALM-021,14,3
